COUNTY,NAME,TYPE,EASTING,NORTHING,PRIMARY STOCKING OBJECTIVE,SECONDARY STOCKING OBJECTIVE,NUMBER RELEASED,STOCKING DATE,GROWTH STAGE,MARK,HATCHERY,FISH LENGTH (cm),FISH WEIGHT (g),STOCK,STOCK - STRAIN
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Spring Stocking Program,,150000,05/26/2005,2-8 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,5,0.5,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Fall Stocking Program,,500,10/25/1989,20-26 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,14.5,35,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Fall Stocking Program,,3000,10/21/1992,20-26 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,12.5,20,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Fall Stocking Program,,2000,10/31/2011,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,12.5,30,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Spring Stocking Program,,200,05/12/1992,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,101,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Spring Stocking Program,,1507,05/12/1993,1-2 years from date of hatch,No mark or tag,Frasers Mills,16.3,49,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,336999,4977995,Spring Stocking Program,,2250,04/29/1998,1-2 years from date of hatch,Adipose fin clip only,McGowan Lake,18,67,Brook Trout,"Brook Trout - South River, Antigonish, sea-run"
Annapolis,ANNAPOLIS RIVER ROUTE 201 BRIDGE,River,351405,4984422,Fall Stocking Program,,500,11/20/1990,26-52 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,12.5,22,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,BLACK,Brook,343415,4979519,Spring Stocking Program,,150000,05/26/2004,2-8 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,4,0.5,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,BLACK,Brook,343415,4979519,Fall Stocking Program,,500,10/31/1991,20-26 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,12,23,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,BLACK,Brook,343415,4979519,Spring Stocking Program,,10000,05/12/1998,2-8 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,4,0,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,BLACK,Brook,343415,4979519,Fall Stocking Program,,500,10/25/1989,20-26 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,14.5,35,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,BLACK,Brook,343415,4979519,Fall Stocking Program,,500,11/20/1990,26-52 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,12.5,22,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,BLACK,Brook,343415,4979519,Fall Stocking Program,,1500,10/31/1991,20-26 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,12,23,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,BLACK,Brook,343415,4979519,Fall Stocking Program,,1100,10/18/1993,20-26 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,16.7,57,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,BURBIDGE,Brook,333449,4975889,Fall Stocking Program,,500,10/31/1991,20-26 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,12,23,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,BURBIDGE,Brook,333449,4975889,Fall Stocking Program,,500,10/18/1993,20-26 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,15.5,64,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,BURBIDGE,Brook,333449,4975889,Spring Stocking Program,,10000,05/12/1998,2-8 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,4,0,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,BURBIDGE,Brook,333449,4975889,Fall Stocking Program,,500,10/25/1989,20-26 weeks after absorption of yolk sac,Left pelvic fin clip only,McGowan Lake,14.5,35,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,CADY,Lake,301512,4942940,Fall Stocking Program,,3993,10/20/1983,26-52 weeks after absorption of yolk sac,No mark or tag,Yarmouth,14.6,34,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,CADY,Lake,301512,4942940,Fall Stocking Program,,3200,11/19/1984,26-52 weeks after absorption of yolk sac,No mark or tag,Frasers Mills,13.6,28,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,CADY,Lake,301512,4942940,Fall Stocking Program,,2999,10/07/1985,26-52 weeks after absorption of yolk sac,No mark or tag,Yarmouth,14.1,31,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,CADY,Lake,301512,4942940,Fall Stocking Program,,1500,10/01/1986,26-52 weeks after absorption of yolk sac,No mark or tag,Yarmouth,15.1,37,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,CONNELL,Lake,337969,4954260,Fall Stocking Program,,2002,09/23/1980,26-52 weeks after absorption of yolk sac,Adipose fin clip only,Coldbrook,15.1,54,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,CONNELL,Lake,337969,4954260,Spring Stocking Program,,600,06/26/2008,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,100,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,CROSKILL,Lake,317300,4971630,Fall Stocking Program,,998,10/19/1983,26-52 weeks after absorption of yolk sac,No mark or tag,Yarmouth,14.6,34,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,CROSKILL,Lake,317300,4971630,Fall Stocking Program,,800,11/19/1984,26-52 weeks after absorption of yolk sac,No mark or tag,Frasers Mills,13.6,28,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,CROSKILL,Lake,317300,4971630,Fall Stocking Program,,799,10/07/1985,26-52 weeks after absorption of yolk sac,No mark or tag,Yarmouth,14.1,31,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,ELLIOTT,Lake,327739,4978710,Fall Stocking Program,,4000,09/29/2009,20-26 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,10,20,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Fall Stocking Program,,2000,11/04/2010,20-26 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,10,20,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Fall Stocking Program,,3000,10/20/2011,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,12.5,30,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Fall Stocking Program,,2915,10/23/2008,20-26 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,10,12,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Fall Stocking Program,,5760,10/18/1996,20-26 weeks after absorption of yolk sac,No mark or tag,Frasers Mills,11.2,16,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Fall Stocking Program,,4640,10/06/1998,26-52 weeks after absorption of yolk sac,No mark or tag,Frasers Mills,9.2,8.6,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Fall Stocking Program,,4000,10/26/2000,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,10,10,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Spring Stocking Program,,1500,05/02/2003,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,80,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Fall Stocking Program,,5000,10/12/2004,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,15,50,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Fall Stocking Program,,5000,11/02/2006,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,15,50,Brown Trout,Brown Trout - from various wild stocks reared at Fraser's Mills Hatchery
Annapolis,ELLIOTT,Lake,327739,4978710,Spring Stocking Program,,750,05/12/1992,1-2 years from date of hatch,Adipose fin clip only,McGowan Lake,22,151,Tiger Trout,Tiger Trout - progeny of female 201 Brown Trout x male Antigonish domestic (005) Brook Trout
Annapolis,ELLIOTT,Lake,327739,4978710,Spring Stocking Program,,250,05/12/1992,1-2 years from date of hatch,Carlin tag only,McGowan Lake,22,151,Tiger Trout,Tiger Trout - progeny of female 201 Brown Trout x male Antigonish domestic (005) Brook Trout
Annapolis,ELLIOTT,Lake,327739,4978710,Spring Stocking Program,,1350,05/20/1993,1-2 years from date of hatch,No mark or tag,McGowan Lake,22,152,Tiger Trout,Tiger Trout - progeny of female 201 Brown Trout x male Antigonish domestic (005) Brook Trout
Annapolis,FALES,Brook,346819,4981026,Spring Stocking Program,,10000,05/12/1998,2-8 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,4,0,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,FALES,Brook,346819,4981026,Fall Stocking Program,,500,10/25/1989,20-26 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,14.5,35,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,FALES,Brook,346819,4981026,Fall Stocking Program,,500,11/20/1990,26-52 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,12.5,22,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,FALES,Brook,346819,4981026,Fall Stocking Program,,500,10/31/1991,20-26 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,12,23,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,FALES,Brook,346819,4981026,Fall Stocking Program,,700,10/18/1993,20-26 weeks after absorption of yolk sac,Right pelvic fin clip only,McGowan Lake,16.7,57,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,FALKLAND RIDGE,River,356491,4943113,Spring Stocking Program,,10000,06/24/1995,8-14 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,7.5,1,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,FED,Lake,295227,4940320,Fall Stocking Program,,400,09/19/1979,20-26 weeks after absorption of yolk sac,No mark or tag,Frasers Mills,12.1,17,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,FED,Lake,295227,4940320,Fall Stocking Program,,400,10/20/1982,26-52 weeks after absorption of yolk sac,No mark or tag,Yarmouth,18,45,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,FED,Lake,295227,4940320,Fall Stocking Program,,401,10/20/1981,20-26 weeks after absorption of yolk sac,Adipose fin clip only,Yarmouth,10.7,18,Brook Trout,Brook Trout - hybrids F2A generation produced by progeny of hybrid mixed (Hughie and Flat Lakes) males and females
Annapolis,GRANVILLE FERRY,Pond,306277,4961879,Spring Stocking Program,,510,05/27/1988,1-2 years from date of hatch,No mark or tag,McGowan Lake,21.6,91,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,GRANVILLE FERRY,Pond,306277,4961879,Spring Stocking Program,,20,05/27/1988,14-20 weeks after absorption of yolk sac,Floy tag (spagetti) only,McGowan Lake,0,1360,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,GRANVILLE FERRY,Pond,306277,4961879,Spring Stocking Program,,25,05/12/1989,1-2 years from date of hatch,No mark or tag,McGowan Lake,40,800,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,GRANVILLE FERRY,Pond,306277,4961879,Spring Stocking Program,,500,05/12/1989,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,114,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,GRANVILLE FERRY,Pond,306277,4961879,Spring Stocking Program,,200,06/12/1991,1-2 years from date of hatch,No mark or tag,McGowan Lake,22,112,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,502,04/23/1976,1-2 years from date of hatch,No mark or tag,Coldbrook,17.7,59,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,1749,10/07/1977,20-26 weeks after absorption of yolk sac,Adipose fin clip only,Coldbrook,13.5,34,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,5000,11/26/1990,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,12.5,22,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,6000,09/22/1992,14-20 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,11,15,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,750,06/18/1993,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,101,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,5580,11/19/1993,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,13,24,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,750,06/17/1994,1-2 years from date of hatch,No mark or tag,McGowan Lake,22,143,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,30,06/16/1995,14-20 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,40,1000,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,1000,06/16/1995,1-2 years from date of hatch,No mark or tag,McGowan Lake,22.4,136,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,3200,11/22/1995,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,20,100,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,1035,06/14/1996,1-2 years from date of hatch,No mark or tag,McGowan Lake,25.5,200,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,5040,10/29/1997,20-26 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,15,35,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,3120,04/11/1998,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,20,77,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,60,06/12/1998,14-20 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,40,1000,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,1680,06/12/1998,1-2 years from date of hatch,No mark or tag,McGowan Lake,22,125,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,2400,11/23/1998,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,20,66.7,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,Fishing Derby,50,06/11/1999,14-20 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,40,1000,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,Fishing Derby,1500,06/11/1999,1-2 years from date of hatch,No mark or tag,McGowan Lake,24,125,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,5000,10/20/1999,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,12.5,20,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,Fishing Derby,1500,06/09/2000,1-2 years from date of hatch,No mark or tag,McGowan Lake,22,125,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,5000,10/16/2000,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,17.5,75,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,1200,06/15/2001,1-2 years from date of hatch,No mark or tag,McGowan Lake,24,175,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,1120,06/14/2002,1-2 years from date of hatch,No mark or tag,McGowan Lake,22,125,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,1428,06/13/2003,1-2 years from date of hatch,No mark or tag,McGowan Lake,25,150,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,,1400,06/10/2005,1-2 years from date of hatch,No mark or tag,McGowan Lake,25,250,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,Fishing Derby,2100,06/09/2006,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,100,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,Fishing Derby,1000,06/12/2009,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,100,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,Fishing Derby,1000,06/11/2010,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,100,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Spring Stocking Program,Fishing Derby,1000,06/10/2011,1-2 years from date of hatch,No mark or tag,McGowan Lake,20,100,Brook Trout,Brook Trout - Domestic stock - Antigonish 
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,5000,10/25/1989,20-26 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,14.5,35,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,3000,10/30/1991,20-26 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,12,18,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
Annapolis,LAKE PLEASANT,Lake,351491,4942310,Fall Stocking Program,,5600,11/18/1994,26-52 weeks after absorption of yolk sac,No mark or tag,McGowan Lake,16.5,50,Brook Trout,Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings
